Old URL,Existing page status Code,New URL
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation/index.html,200,www.snowflake.com/en/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation/#0,200,www.snowflake.com/en/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ptbr/index.html?index=..%2F..ptbr,200,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ptbr/index.html,200,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ptbr/,200,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ptbr,301,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_kr/index.html?index=..%2F..kr,200,www.snowflake.com/ko/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_kr/index.html,200,www.snowflake.com/ko/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_kr/#0,200,www.snowflake.com/ko/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_kr/,404,www.snowflake.com/ko/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ja/index.html?index=..%2F..ja,200,www.snowflake.com/ja/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ja/index.html,200,www.snowflake.com/ja/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ja/#0,200,www.snowflake.com/ja/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ja/,200,www.snowflake.com/ja/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ja,301,www.snowflake.com/ja/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_it/index.html?index=..%2F..it,200,www.snowflake.com/it/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_it/index.html,200,www.snowflake.com/it/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_it/#0,200,www.snowflake.com/it/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_it/,200,www.snowflake.com/it/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_fr/index.html?index=..%2F..fr,200,www.snowflake.com/fr/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_fr/index.html,200,www.snowflake.com/fr/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_fr/,200,www.snowflake.com/fr/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_fr,301,www.snowflake.com/fr/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_es/index.html?index=..%2F..es,200,www.snowflake.com/es/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_es/index.html,200,www.snowflake.com/es/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_es/#0,200,www.snowflake.com/es/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_es/,200,www.snowflake.com/es/developers/guides/tasty-bytes-zero-to-snowflake-transformation
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data/index.html,200,www.snowflake.com/en/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data/#0,200,www.snowflake.com/en/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data/,200,www.snowflake.com/en/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_ptbr/index.html?index=..%2F..ptbr,200,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_ptbr/index.html,200,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_ptbr/,200,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_ptbr,301,www.snowflake.com/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data
