SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage,MigrationID
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__OrderHead__Order__5165187F' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/orderheader.sql,8,33,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__Customer__Create__4F7CD00D' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/customer.sql,15,33,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__Customer__Member__4D94879B' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/customer.sql,13,31,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__Customer__Loyalt__4CA06362' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/customer.sql,12,32,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/customer.sql,10,29,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/customer.sql,10,29,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/customer.sql,9,24,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/customer.sql,9,24,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/customer.sql,8,28,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/customer.sql,8,28,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/customer.sql,7,29,TastyBytesDB,TastyBytes,N/A,Customer,TastyBytesDB.TastyBytes.Customer,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
