archived_id,found_path,action,note
analyze_pdf_invoices_java_udf_snowsight,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/analyze_pdf_invoices_java_udf_snowsight,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/analyze_pdf_invoices_java_udf_snowsight
analyze_pdf_invoices_java_udf_snowsight,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/analyze_pdf_invoices_java_udf_snowsight/analyze_pdf_invoices_java_udf_snowsight.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/analyze_pdf_invoices_java_udf_snowsight/analyze_pdf_invoices_java_udf_snowsight.md'
financial-services-asset-management-snowflake,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/financial-services-asset-management-snowflake,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/financial-services-asset-management-snowflake
financial-services-asset-management-snowflake,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/financial-services-asset-management-snowflake/financial-services-asset-management-snowflake.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/financial-services-asset-management-snowflake/financial-services-asset-management-snowflake.md'
getting_started_with_amg_and_streamlit_on_real-time_dashboarding,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/getting_started_with_amg_and_streamlit_on_real-time_dashboarding,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/getting_started_with_amg_and_streamlit_on_real-time_dashboarding
getting_started_with_amg_and_streamlit_on_real-time_dashboarding,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/getting_started_with_amg_and_streamlit_on_real-time_dashboarding/getting_started_with_amg_and_streamlit_on_real-time_dashboarding.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/getting_started_with_amg_and_streamlit_on_real-time_dashboarding/getting_started_with_amg_and_streamlit_on_real-time_dashboarding.md'
analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran
analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran/analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran/analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran.md'
tasty_bytes_native_app,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/tasty_bytes_native_app,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/tasty_bytes_native_app
tasty_bytes_native_app,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/tasty_bytes_native_app/tasty_bytes_native_app.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/tasty_bytes_native_app/tasty_bytes_native_app.md'
build_llm_app_nvidia_scs,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/build_llm_app_nvidia_scs,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/build_llm_app_nvidia_scs
build_llm_app_nvidia_scs,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/build_llm_app_nvidia_scs/build_llm_app_nvidia_scs.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/build_llm_app_nvidia_scs/build_llm_app_nvidia_scs.md'
sec_10k_decoder_without_rag,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/sec_10k_decoder_without_rag,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/sec_10k_decoder_without_rag
sec_10k_decoder_without_rag,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/sec_10k_decoder_without_rag/sec_10k_decoder_without_rag.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/sec_10k_decoder_without_rag/sec_10k_decoder_without_rag.md'
